ITEM,CAL,FAT,SFAT,TFAT,CHOL,SALT,CARB,FBR,SGR,PRO,CATEGORY
Triple Cheeseburger,520,28,14,1.5,110,1180,35,2,7,32,BURGER
Cheddar Bacon Onion Grilled Chicken Sandwich,650,26,10,0.5,155,2130,50,4,14,53,BURGER
Bacon Clubhouse Burger,740,41,16,1.5,120,1420,51,4,14,40,BURGER
Premium Grilled Chicken Bacon Clubhouse Sandwich,630,26,8,0,145,1830,50,4,14,48,BURGER
Double Filet-O-Fish,540,26,6,0,80,780,48,2,5,28,BURGER
Premium Buttermilk Crispy Chicken Bacon Clubhouse Sandwich,790,40,10,0.5,105,1720,69,5,14,39,BURGER
Buffalo Ranch McChicken,360,16,3,0,40,800,40,2,5,15,BURGER
Bacon Buffalo Ranch McChicken,430,21,4.5,0,55,1040,40,2,6,20,BURGER
Bacon Cheddar McChicken,550,32,9,0,80,950,41,2,6,24,BURGER
Southern Style Buttermilk Crispy Chicken Sandwich,470,20,4.5,0,65,950,48,3,5,25,BURGER
Big Mac,540,28,10,1,80,950,45,3,9,25,BURGER
Quarter Pounder,430,20,8,1,75,700,38,2,9,26,BURGER
Quarter Pounder with Cheese,530,27,13,1.5,100,1090,41,3,10,31,BURGER
Quarter Pounder Bacon & Cheese,590,29,13,1.5,105,1330,48,3,12,36,BURGER
Double Quarter Pounder with Cheese,770,45,21,2.5,175,1290,42,3,10,51,BURGER
Hamburger,250,8,3,0,30,480,31,1,6,13,BURGER
Hot 'n Spicy McChicken,420,22,4,0,45,590,39,3,5,14,BURGER
Cheeseburger,300,12,6,0.5,40,680,33,2,7,15,BURGER
BBQ Ranch Burger,350,15,6,0.5,45,670,37,3,7,16,BURGER
Grilled Onion Cheddar,310,13,6,0.5,45,640,32,2,6,15,BURGER
Double Cheeseburger,440,22,11,1,85,1050,34,2,7,25,BURGER
McDouble,390,18,8,1,70,850,33,2,7,22,BURGER
Bacon McDouble,450,23,10,1,85,1090,34,2,7,28,BURGER
Bacon Cheddar Hot 'n Spicy McChicken,550,32,9,0.5,80,960,41,3,6,24,BURGER
Daily Double,480,29,10,1,80,750,33,2,7,23,BURGER
Ranch Snack Wrap (Buttermilk Crispy),380,20,6,0,45,830,34,2,2,16,BURGER
Ranch Snack Wrap (Grilled),300,13,4.5,0,65,890,25,1,2,21,BURGER
Mac Snack Wrap,340,20,7,1,50,660,26,2,2,15,BURGER
Jalapeño Double,440,24,9,1,75,980,35,2,6,23,BURGER
Quarter Pounder Deluxe,640,39,15,1.5,110,1170,41,3,11,31,BURGER
McTeri Deluxe,610,31,10,1,85,1190,56,3,25,27,BURGER
Double Homestyle Burger,690,39,16,2.5,150,920,38,3,7,46,BURGER
Bacon Double Cheeseburger,500,26,12,1,100,1280,36,3,8,30,BURGER
Denali Big Mac,850,51,20,2.5,170,1090,47,3,9,50,BURGER
Green Chili Double Cheeseburger,390,18,8,1,70,760,34,2,7,23,BURGER
Quarter Pounder Cheddar Bacon Onion,770,43,18,2,135,1670,52,4,14,44,BURGER
Daily Double Burger Mustard Style,380,18,8,1,70,720,33,2,6,23,BURGER
Double Grilled Onion Cheddar Burger,390,19,9,1,70,760,32,2,6,23,BURGER
Grilled Onion Cheddar Burger Triple,530,29,14,1.5,115,1080,35,2,6,32,BURGER
Big Mac with Butter,560,31,12,1,85,950,46,3,9,25,BURGER
Homestyle Burger,440,21,8,1,75,630,36,3,6,26,BURGER
Cheeseburger Bacon,360,16,7,0.5,55,920,34,2,7,21,BURGER
Triple Bacon Cheeseburger,590,32,15,1.5,125,1400,37,3,8,38,BURGER
Hamburger New York,250,8,3,0,30,470,31,2,6,13,BURGER
Cheeseburger New York,300,12,5,0.5,40,670,33,2,7,15,BURGER
Triple Cheeseburger New York,520,28,13,1.5,110,1160,36,2,7,32,BURGER
Quarter Pounder Deluxe New York,590,32,14,1.5,105,1170,44,4,11,32,BURGER
Quarter Pounder New York,430,20,8,1,75,700,38,2,9,26,BURGER
Green Chili Double Cheeseburger New York,390,18,8,1,70,750,34,2,7,23,BURGER
Double Cheeseburger New York,430,22,11,1,85,1040,35,2,7,25,BURGER
Cheeseburger Bacon New York,360,16,7,0.5,55,920,34,2,7,20,BURGER
Bacon Double Cheeseburger New York,500,26,12,1,100,1270,36,2,8,30,BURGER
Triple Bacon Cheeseburger New York,590,32,15,1.5,125,1400,37,2,8,38,BURGER
Bacon McDouble New York,450,22,10,1,85,1080,34,2,7,28,BURGER
Quarter Pounder With Cheese New York,530,27,13,1.5,100,1090,41,3,10,31,BURGER
Double Quarter Pounder With Cheese New York,770,45,21,2.5,175,1280,42,3,10,51,BURGER
Signature Sriracha Burger on Artisan Roll,680,35,13,1.5,95,1040,57,3,13,32,BURGER
Double Lone Star Stack Burger,960,53,24,3,200,2040,60,3,18,61,BURGER
Lone Star Stack Burger,720,36,16,1.5,125,1850,59,3,18,41,BURGER
Buffalo Bacon Burger on Artisan Roll,620,33,13,1.5,105,1170,46,3,11,37,BURGER
Swiss Mushroom Melt Burger on Artisan Roll,620,33,17,1.5,115,570,47,3,11,36,BURGER
Bacon Quarter Pounder With Cheese,630,34,15,1.5,125,1450,42,3,10,39,BURGER
Bacon Smokehouse Burger on Artisan Roll,840,45,17,1.5,130,1580,62,2,18,46,BURGER
Double Bacon Smokehouse Burger on Artisan Roll (Fresh Beef),1130,600,103,136,220,73,80,21,14,70,BURGER
Cheddar Bacon Onion Grilled Chicken Sandwich,650,26,10,0.5,155,2130,50,4,14,53,CHICKEN
Premium Grilled Chicken Bacon Clubhouse Sandwich,630,26,8,0,145,1830,50,4,14,48,CHICKEN
Double Filet-O-Fish,540,26,6,0,80,780,48,2,5,28,CHICKEN
Premium Buttermilk Crispy Chicken Bacon Clubhouse Sandwich,790,40,10,0.5,105,1720,69,5,14,39,CHICKEN
McChicken,410,22,4,0,45,590,39,2,5,15,CHICKEN
Buffalo Ranch McChicken,360,16,3,0,40,800,40,2,5,15,CHICKEN
Bacon Buffalo Ranch McChicken,430,21,4.5,0,55,1040,40,2,6,20,CHICKEN
Bacon Cheddar McChicken,550,32,9,0,80,950,41,2,6,24,CHICKEN
Southern Style Buttermilk Crispy Chicken Sandwich,470,20,4.5,0,65,950,48,3,5,25,CHICKEN
Filet-O-Fish,390,19,4,0,45,560,38,2,5,17,CHICKEN
Hot 'n Spicy McChicken,420,22,4,0,45,590,39,3,5,14,CHICKEN
Bacon Cheddar Hot 'n Spicy McChicken,550,32,9,0.5,80,960,41,3,6,24,CHICKEN
Chicken McNuggets (10 piece),440,27,4.5,0,75,840,26,2,0,24,CHICKEN
Ranch Snack Wrap (Buttermilk Crispy),380,20,6,0,45,830,34,2,2,16,CHICKEN
Chicken McNuggets (20 piece),890,53,9,0,145,1680,53,4,0,49,CHICKEN
Chicken McNuggets (6 piece),270,16,2.5,0,45,510,16,1,0,15,CHICKEN
Chicken McNuggets (40 piece),1770,107,18,0.5,295,3370,105,7,1,98,CHICKEN
Premium Bacon Ranch Salad with Buttermilk Crispy Chicken,490,28,8,0,95,1120,28,4,4,33,CHICKEN
Ranch Snack Wrap (Grilled),300,13,4.5,0,65,890,25,1,2,21,CHICKEN
Premium Bacon Ranch Salad with Grilled Chicken,320,14,6,0,135,1230,9,3,4,42,CHICKEN
Premium Southwest Salad with Buttermilk Crispy Chicken,520,25,6,0,75,960,46,8,9,28,CHICKEN
Premium Southwest Salad with Grilled Chicken,350,11,4.5,0,110,1070,27,6,9,37,CHICKEN
Chicken McNuggets (4 piece),180,11,2,0,30,340,11,1,0,10,CHICKEN
Artisan Grilled Chicken Sandwich,380,7,2,0,95,1110,44,3,11,37,CHICKEN
Buttermilk Crispy Chicken Sandwich,630,29,5,0,70,1030,63,4,11,28,CHICKEN
Veggie McWrap,480,19,6,0.5,20,870,63,8,14,15,CHICKEN
Chicken McNuggets (50 Piece),2210,133,22,1,370,4210,132,9,1,122,CHICKEN
Lobster Roll,290,5,1.5,0,65,630,35,2,3,24,CHICKEN
McChicken Deluxe,510,28,7,0,65,740,44,3,6,20,CHICKEN
Old Bay Double Filet-O-Fish Sandwich,540,25,6,0,80,760,49,3,5,29,CHICKEN
Old Bay Filet-O-Fish Sandwich,390,18,3.5,0,45,540,40,2,5,17,CHICKEN
Jalapeno McChicken,430,20,5,0,55,1030,44,3,6,18,CHICKEN
Hot N' Spicy McChicken Deluxe,510,29,8,0,65,750,45,4,6,20,CHICKEN
McChicken Scratch Biscuit,450,22,9,0,75,1080,49,3,3,15,CHICKEN
McGriddles Buttermilk Crispy Chicken,540,22,6,0,60,1320,61,3,14,24,CHICKEN
Southern Style Chicken McGriddles,410,15,4.5,0,30,1160,51,1,16,16,CHICKEN
Southern Style Chicken Biscuit Pressure Fried,440,22,8,0,40,1140,46,2,4,15,CHICKEN
Buttermilk Crispy Chicken Biscuit,570,28,10,0,60,1380,55,3,2,24,CHICKEN
Southern Style Chicken Scratch Biscuit Pressure Fried,460,23,8,0,75,1160,49,2,4,15,CHICKEN
Hot N Spicy McChicken Scratch Biscuit,460,23,9,0,75,1090,49,3,3,14,CHICKEN
Buttermilk Crispy Tenders 2 pc,250,13,2,0,55,700,13,0,0,20,CHICKEN
Buttermilk Crispy Tenders 4 pc,500,27,4,0,110,1390,25,0,1,39,CHICKEN
Buttermilk Crispy Tenders 10 pc,1250,67,10,0,270,3480,63,1,2,98,CHICKEN
Signature Sriracha Buttermilk Crispy Chicken on Artisan Roll,760,36,9,0.5,85,1430,75,5,13,34,CHICKEN
Signature Sriracha Artisan Grilled Chicken on Artisan Roll,590,22,7,0,125,1390,56,3,14,43,CHICKEN
Buttermilk Crispy Tenders 6 pc,750,40,6,0,160,2090,38,1,1,59,CHICKEN
Buttermilk Crispy Chicken Tenders (20 piece),2500,135,20,1,540,6950,126,2,3,195,CHICKEN
Buttermilk Crispy Chicken Tenders Pressure Fried (4 piece),480,24,3.5,0,110,1430,22,0,0,42,CHICKEN
Buttermilk Crispy Chicken Tenders Pressure Fried (10 piece),1190,60,9,0,280,3570,56,1,0,105,CHICKEN
Buttermilk Crispy Chicken Tenders Pressure Fried (2 piece),240,12,2,0,55,710,11,0,0,21,CHICKEN
Buttermilk Crispy Chicken Tenders Pressure Fried (6 piece),710,36,5,0,170,2140,34,1,0,63,CHICKEN
Buttermilk Crispy Chicken Tenders Pressure Fried (20 piece),2380,121,18,1,560,7130,112,2,1,210,CHICKEN
Buffalo Bacon Artisan Grilled Chicken on Artisan Roll,520,17,5,0,125,1710,45,3,11,45,CHICKEN
Swiss Mushroom Melt Buttermilk Crispy Chicken on Artisan Roll,700,32,12,0.5,105,1120,66,5,11,37,CHICKEN
Swiss Mushroom Melt Artisan Grilled on Artisan Roll,540,19,10,0.5,140,1240,47,3,12,46,CHICKEN
Buffalo Bacon Buttermilk Crispy Chicken on Artisan Roll,680,31,7,0,90,1600,64,4,11,36,CHICKEN
Classic Chicken Sandwich,510,24,4,0,65,1040,49,3,6,25,CHICKEN
Ranch Snack Wrap Buttermilk Chicken Tender,360,19,5,0,45,870,31,1,2,16,CHICKEN
Bacon Smokehouse Buttermilk Crispy Chicken on Artisan Roll,920,45,12,0.5,120,1980,81,4,18,46,CHICKEN
Bacon Smokehouse Artisan Grilled Chicken on Artisan Roll,750,31,10,0.5,155,1940,62,2,18,55,CHICKEN
Fruit 'n Yogurt Parfait,150,2,1,0,5,75,30,1,22,4,BREAKFAST
Steak & Egg Burrito,350,15,6,0.5,115,950,38,2,3,16,BREAKFAST
Steak Egg & Cheese Bagel,630,31,14,1.5,255,1450,54,4,7,32,BREAKFAST
Steak Egg & Cheese Biscuit,530,30,15,1,230,1500,40,3,4,25,BREAKFAST
Sausage McMuffin with Egg,470,30,12,0,275,810,30,2,3,21,BREAKFAST
Hotcakes and Sausage,790,35,13,0,80,890,103,2,45,16,BREAKFAST
Southern Style Chicken Biscuit,440,21,8,0,35,1220,45,2,4,16,BREAKFAST
Sausage Burrito,300,16,6,0,165,780,26,1,2,13,BREAKFAST
Fruit & Maple Oatmeal,310,4,1.5,0,5,140,62,5,33,6,BREAKFAST
Egg McMuffin,300,12,6,0,245,730,30,2,3,18,BREAKFAST
Bacon Egg & Cheese Biscuit,450,24,12,0,200,1300,40,2,3,18,BREAKFAST
Sausage Biscuit,460,30,13,0,40,1050,36,2,3,11,BREAKFAST
Sausage Biscuit with Egg,530,34,15,0,205,1140,38,2,3,17,BREAKFAST
Bacon Egg & Cheese McGriddles,420,18,8,0,195,1240,45,2,15,18,BREAKFAST
Sausage McGriddles,430,24,9,0,35,990,42,1,15,11,BREAKFAST
Sausage Egg & Cheese McGriddles,550,32,13,0,220,1290,45,2,15,20,BREAKFAST
Bacon Egg & Cheese Bagel with Egg Whites,510,22,10,0.5,65,1240,53,3,7,25,BREAKFAST
Big Breakfast,750,49,18,0,465,1490,53,3,3,25,BREAKFAST
Big Breakfast with Hotcakes,1350,65,25,0.5,510,2100,155,6,48,35,BREAKFAST
Cinnamon Melts,460,19,9,0,15,370,66,3,32,6,BREAKFAST
Hotcakes,600,16,7,0,45,610,102,2,45,9,BREAKFAST
Egg White Delight,280,10,6,0,40,680,29,2,2,18,BREAKFAST
Hash Browns,150,9,1.5,0,0,320,16,1,0,1,BREAKFAST
Bacon Egg & Cheese Scratch Biscuit,480,25,12,0,235,1310,43,3,4,19,BREAKFAST
Sausage Scratch Biscuit,490,32,13,0,75,1070,39,2,3,12,BREAKFAST
Sausage Scratch Biscuit with Egg,550,36,15,0,240,1160,41,2,4,18,BREAKFAST
Southern Style Chicken Scratch Biscuit,460,23,8,0,70,1240,48,2,5,16,BREAKFAST
Sausage McMuffin with Egg Whites,430,26,11,0,60,830,29,2,3,20,BREAKFAST
Bacon Egg & Cheese McGriddles with Egg Whites,380,15,7,0,35,1230,44,2,15,18,BREAKFAST
Bacon Egg & Cheese Biscuit with Egg Whites,410,21,11,0,40,1290,39,2,3,18,BREAKFAST
Big Breakfast with Egg Whites,670,40,15,0,50,1540,52,3,3,24,BREAKFAST
Big Breakfast with Hotcakes and Egg Whites,1270,57,22,0.5,95,2150,154,6,48,33,BREAKFAST
Fruit & Maple Oatmeal without Brown Sugar,260,4,1.5,0,5,115,49,5,18,6,BREAKFAST
Sausage Biscuit with Egg Whites,490,31,14,0,45,1140,36,2,3,17,BREAKFAST
Sausage Egg & Cheese McGriddles with Egg Whites,510,29,12,0,55,1270,44,2,15,19,BREAKFAST
Bacon Egg & Cheese Bagel,500,22,9,0,210,1070,52,3,7,23,BREAKFAST
Steak Egg & Cheese McMuffin,430,22,10,1,285,970,30,2,3,26,BREAKFAST
Sausage McMuffin,400,25,10,0,55,740,29,2,3,14,BREAKFAST
Biscuit and Sausage Gravy,440,26,10,0,25,1210,43,2,3,9,BREAKFAST
Chorizo Burrito,310,15,6,0,175,820,28,2,3,16,BREAKFAST
Chicken McGriddles,390,15,4.5,0,35,1000,51,2,14,14,BREAKFAST
Egg and Cheese Bagel,480,20,9,0.5,210,1020,53,4,7,20,BREAKFAST
Blueberry Muffin Main Street Gourmet,400,15,3,0,45,340,60,2,34,7,BREAKFAST
Big Breakfast Two Bacon Hotcakes Scrambled Egg and Biscuit,1290,56,22,0.5,505,2300,156,6,48,39,BREAKFAST
Bacon and White Cheddar Cheese McMuffin,350,16,7,0,255,770,30,2,3,20,BREAKFAST
Steak and Egg Biscuit,480,27,13,1,215,1300,38,2,3,22,BREAKFAST
Steak Egg and Cheese McGriddles,500,24,11,1,225,1430,46,3,16,25,BREAKFAST
Apple Cinnamon Muffin,300,2.5,0.5,0,0,520,61,3,30,7,BREAKFAST
Sausage Egg and Cheese Bagel,670,39,16,0.5,245,1300,54,4,7,27,BREAKFAST
Chicken Sausage and Egg McMuffin,360,17,7,0,285,870,30,2,2,23,BREAKFAST
Big Breakfast Sausage Scrambled with Hotcakes and Muffin,1240,57,20,0.5,510,1600,146,5,47,35,BREAKFAST
Double Sausage McMuffin with Egg and Cheese,670,48,18,0.5,310,1100,30,2,3,28,BREAKFAST
Cranberry Orange Muffin,380,9,1.5,0,0,430,70,3,35,6,BREAKFAST
Spam Eggs and Rice,480,25,9,0,470,780,36,0,1,24,BREAKFAST
Bagel With Cream Cheese,310,8,4,0,25,570,49,3,6,10,BREAKFAST
Blueberry Biscuit,230,8,4,0,0,470,36,1,11,3,BREAKFAST
Biscuit Sausage Egg and Cheese,580,38,17,0,220,1340,39,3,3,20,BREAKFAST
Big Breakfast Sausage and English Muffin,640,40,13,0,470,990,44,3,2,26,BREAKFAST
McChicken Biscuit,430,21,9,0,40,1060,45,2,2,14,BREAKFAST
Biscuit Sausage Gravy Platter,890,52,20,0,50,2410,87,3,6,19,BREAKFAST
McGriddles Chicken Sausage,320,11,4.5,0,45,1050,42,1,14,13,BREAKFAST
Cinnamon Sweet Cheese Pastry,150,8,5,0,35,160,16,0,7,3,BREAKFAST
Raspberry Pastry,110,5,2.5,0,15,105,14,1,4,2,BREAKFAST
Bacon Biscuit,340,17,9,0,20,1010,36,2,3,10,BREAKFAST
Bagel Plain,250,2,0,0,0,480,48,3,5,9,BREAKFAST
Country Ham Biscuit,340,14,8,0,35,1600,36,2,2,15,BREAKFAST
Big Breakfast Steak Hotcakes Scrambled with Biscuit,1290,57,23,1.5,515,2190,155,6,47,40,BREAKFAST
Biscuit Chicken Sausage,350,17,8,0,50,1110,36,2,2,13,BREAKFAST
Berry Bran Muffin,410,15,1.5,0,0,480,62,7,28,7,BREAKFAST
Grits,140,6,3.5,0,15,75,19,2,0,2,BREAKFAST
Local Deluxe Breakfast,900,45,16,0,520,1340,82,1,2,38,BREAKFAST
Double Chocolate Muffin,450,15,3.5,0,0,600,74,4,42,8,BREAKFAST
Blueberry Muffin,450,17,1.5,0,0,360,67,3,32,7,BREAKFAST
Cinnamon Coffee Cake,160,7,2,0,20,125,22,1,13,2,BREAKFAST
Steak Egg and Cheese Bagel with Slivered Onions,620,30,13,1,255,1390,54,4,7,32,BREAKFAST
Big Breakfast Bacon Scrambled and Biscuit,690,40,15,0,460,1690,54,3,3,30,BREAKFAST
Country Ham and Egg Biscuit,400,18,9,0,205,1690,38,2,2,21,BREAKFAST
Chicken Sausage McMuffin,290,12,6,0,65,800,29,2,2,16,BREAKFAST
Big Breakfast Bacon Sausage Scrambled with Hotcakes and Muffin,1310,61,22,0.5,525,1840,147,5,48,40,BREAKFAST
Biscuit Sausage and Cheese,510,34,16,0,55,1250,38,2,3,14,BREAKFAST
Spam Side Order,190,16,6,0,45,660,1,0,1,8,BREAKFAST
Portuguese Sausage Eggs and Rice,520,29,10,0,475,690,37,1,2,26,BREAKFAST
Fruit and Maple Oatmeal with Maple Sugar Packet,270,4,1.5,0,5,115,53,5,22,7,BREAKFAST
Egg and Chorizo Breakfast Bowl,460,29,9,0,500,1060,23,3,2,27,BREAKFAST
Hot N Spicy McChicken Biscuit,430,22,9,0,40,1070,46,3,2,14,BREAKFAST
Big Breakfast Steak Scrambled with Biscuit,710,41,16,1,475,1640,53,3,3,31,BREAKFAST
McGriddles Spam,450,21,9,0,205,1320,45,2,15,17,BREAKFAST
Green Chile Bacon Burrito,690,35,12,1,410,1640,66,3,5,29,BREAKFAST
Green Chile Sausage Burrito,820,48,17,1,430,1680,66,3,5,30,BREAKFAST
Scratch Biscuit and Gravy,470,27,10,0,55,1290,47,2,4,10,BREAKFAST
Biscuit Scratch Sausage and Cheese,540,35,15,0,90,1270,41,2,4,14,BREAKFAST
Lemon Poppy Seed Muffin Topper,150,7,1.5,0,15,120,22,1,13,2,BREAKFAST
Chocolate Coffee Cake,170,8,2.5,0,20,180,21,1,13,2,BREAKFAST
Blueberry Muffin Topper,160,7,2,0,20,150,22,0,12,2,BREAKFAST
Double Chocolate Muffin Topper,170,8,2.5,0,20,140,23,1,14,2,BREAKFAST
Carrot Muffin,440,17,1.5,0,0,370,67,2,35,6,BREAKFAST
Mini Butter Croissant,140,7,4.5,0,30,180,16,1,2,3,BREAKFAST
Turkey Sausage and Tomatillo Scramble Bowl,330,200,34,41,575,191,29,2,5,29,BREAKFAST
Side Salad,15,0,0,0,0,15,3,1,1,1,SALAD
Premium Bacon Ranch Salad (without chicken),190,12,5,0,40,500,9,3,3,14,BREAKFAST
Premium Southwest Salad (without chicken),160,7,3,0,15,200,19,5,4,8,BREAKFAST
Premium Bacon Ranch Salad with Buttermilk Crispy Chicken,490,28,8,0,95,1120,28,4,4,33,BREAKFAST
Premium Bacon Ranch Salad with Grilled Chicken,320,14,6,0,135,1230,9,3,4,42,BREAKFAST
Premium Southwest Salad with Buttermilk Crispy Chicken,520,25,6,0,75,960,46,8,9,28,BREAKFAST
Premium Southwest Salad with Grilled Chicken,350,11,4.5,0,110,1070,27,6,9,37,BREAKFAST
Broccoli Cheese Soup,190,11,3,0,25,1340,14,0,3,6,BREAKFAST
Chicken Noodle Soup,110,2,0.5,0,25,830,15,0,1,10,BREAKFAST
Fruit 'n Yogurt Parfait,150,2,1,0,5,75,30,1,22,4,BREAKFAST
Small French Fries,230,11,1.5,0,0,160,29,3,0,3,BREAKFAST
Fruit 'n Yogurt Parfait with Chobani,120,0.5,0,0,5,65,21,1,16,8,SNACKSIDE
Apple Slices,15,0,0,0,0,0,4,0,3,0,SNACKSIDE
Side Salad,15,0,0,0,0,15,3,1,1,1,SNACKSIDE
Large French Fries,510,24,3.5,0,0,350,66,6,0,7,SNACKSIDE
Kids Fries,110,5,1,0,0,80,15,1,0,1,SNACKSIDE
Ranch Snack Wrap (Buttermilk Crispy),380,20,6,0,45,830,34,2,2,16,SNACKSIDE
Ranch Snack Wrap (Grilled),300,13,4.5,0,65,890,25,1,2,21,SNACKSIDE
Mac Snack Wrap,340,20,7,1,50,660,26,2,2,15,SNACKSIDE
Go-GURT Strawberry Flavored Low Fat Yogurt Tube,50,0.5,0,0,5,30,8,0,6,3,SNACKSIDE
Mozzarella Sticks (3 Piece),190,10,4,0,20,460,18,1,1,8,SNACKSIDE
Basket of Fries,670,32,4.5,0,0,460,87,8,0,9,SNACKSIDE
Pineapple Side,60,0,0,0,0,0,15,2,11,1,SNACKSIDE
McCheddar Potato Bites (12 piece),400,20,5,0,15,1070,47,3,3,9,SNACKSIDE
Popcorn (Large),500,33,3,0,0,1250,45,3,0,6,SNACKSIDE
Medium French Fries,340,16,2,0,0,230,44,4,0,4,SNACKSIDE
Portuguese Sausage Side Order,220,19,7,0,50,570,2,0,1,10,SNACKSIDE
Saimin,240,2.5,1,0,20,610,45,2,2,10,SNACKSIDE
Popcorn (Small),230,15,1.5,0,0,580,21,1,0,3,SNACKSIDE
McCheddar Potato Bites (8 piece),270,13,3.5,0,10,710,31,2,2,6,SNACKSIDE
Gourmet Twist Hot Pretzel with Butter Salt,450,4.5,0,0,0,960,85,3,3,12,SNACKSIDE
Plain Gourmet Pretzel Twist,440,3.5,0,0,0,460,85,3,3,12,SNACKSIDE
Gilroy Garlic Fries (Large),600,31,6,0,0,620,70,7,1,10,SNACKSIDE
Gilroy Garlic Fries (Medium),420,23,4.5,0,0,500,48,5,1,8,SNACKSIDE
Fruit 'N Yogurt Parfait (Large),300,4.5,2.5,0,15,110,58,1,45,8,SNACKSIDE
Cheese Curds,440,30,15,1,80,970,18,2,1,24,SNACKSIDE
French Fries (Large) Compostable Packaging,470,22,3,0,0,330,61,5,0,6,SNACKSIDE
French Fries (Medium) Compostable Packaging,380,18,2.5,0,0,260,49,4,0,5,SNACKSIDE
French Fries (Kids) Compostable Packaging,190,9,1,0,0,130,25,2,0,2,SNACKSIDE
Hot Caramel Sundae Compostable Packaging,340,10,5,0,25,140,54,1,38,7,SNACKSIDE
Strawberry Sundae Compostable Packaging,270,9,3.5,0,20,75,43,1,38,6,SNACKSIDE
Coca-Cola Zero Sugar (Large),0,0,0,0,0,75,0,0,0,0,BEVERAGE
Minute Maid Lemonade (Extra Small),110,0,0,0,0,70,28,0,27,0,BEVERAGE
Chocolate Shake (Small),530,15,9,0.5,60,260,87,1,74,12,BEVERAGE
Vanilla Shake (Small),490,14,9,0.5,60,230,79,0,59,11,BEVERAGE
Strawberry Shake (Small),500,15,9,0.5,60,190,80,0,71,12,BEVERAGE
Egg Nog Shake (Small),450,13,8,0.5,55,160,74,0,63,10,BEVERAGE
